"DATE_AND_TIME";"DATE";"TIME";"GAME";"RESULT";"ATTENDENCE";"STADIUM";"SEASON";"WEEKDAY";"HOME_OR_AWAY";"TEAM";"HOME_TEAM";"AWAY_TEAM";"OPPONENT";"HOME_GOALS";"AWAY_GOALS";"GOAL_FOR";"GOAL_AGAINST";"GOAL_DIFF";"GAMES_PLAYED";"POINTS";"W";"D";"L";"CUM_GOAL_FOR";"CUM_GOAL_AGAINST";"CUM_GOAL_DIFF";"CUM_GAMES_PLAYED";"CUM_POINTS";"CUM_W";"CUM_D";"CUM_L";"CUM_POSITION";"LATEST_POSITION_PER_SEASON"
2001-04-22 13:30:00;2001-04-22;"13:30";"BK Häcken - Hammarby";"0 - 0";3024;"Rambergsvallen";2001;"söndag";"AWAY";"Hammarby";"BK Häcken";"Hammarby";"BK Häcken";0;0;0;0;0;1;1;0;1;0;4;3;1;3;5;1;2;0;5;1
2001-04-21 13:30:00;2001-04-21;"13:30";"Halmstads BK - IF Elfsborg";"5 - 0";7618;"Örjans Vall";2001;"lördag";"HOME";"Halmstads BK";"Halmstads BK";"IF Elfsborg";"IF Elfsborg";5;0;5;0;5;1;3;1;0;0;6;2;4;3;4;1;1;1;6;7
2001-04-22 13:30:00;2001-04-22;"13:30";"IFK Norrköping - AIK";"1 - 3";9584;"Norrköpings Idrottspark";2001;"söndag";"AWAY";"AIK";"IFK Norrköping";"AIK";"IFK Norrköping";1;3;3;1;2;1;3;1;0;0;3;3;0;3;4;1;1;1;7;3
2001-04-22 13:30:00;2001-04-22;"13:30";"BK Häcken - Hammarby";"0 - 0";3024;"Rambergsvallen";2001;"söndag";"HOME";"BK Häcken";"BK Häcken";"Hammarby";"Hammarby";0;0;0;0;0;1;1;0;1;0;2;2;0;3;4;1;1;1;8;13
2001-04-21 16:00:00;2001-04-21;"16:00";"Helsingborgs IF - GIF Sundsvall";"3 - 0";7477;"Olympia, Helsingborg";2001;"lördag";"AWAY";"GIF Sundsvall";"Helsingborgs IF";"GIF Sundsvall";"Helsingborgs IF";3;0;0;3;-3;1;0;0;0;1;1;4;-3;3;3;1;0;2;9;11
2001-04-21 13:30:00;2001-04-21;"13:30";"Halmstads BK - IF Elfsborg";"5 - 0";7618;"Örjans Vall";2001;"lördag";"AWAY";"IF Elfsborg";"Halmstads BK";"IF Elfsborg";"Halmstads BK";5;0;0;5;-5;1;0;0;0;1;3;7;-4;3;3;1;0;2;10;10
2001-04-22 13:30:00;2001-04-22;"13:30";"IFK Norrköping - AIK";"1 - 3";9584;"Norrköpings Idrottspark";2001;"söndag";"HOME";"IFK Norrköping";"IFK Norrköping";"AIK";"AIK";1;3;1;3;-2;1;0;0;0;1;2;6;-4;3;3;1;0;2;11;12
2001-04-26 19:00:00;2001-04-26;"19:00";"Örebro SK - Örgryte IS";"1 - 1";3680;"Felaktig arena";2001;"torsdag";"HOME";"Örebro SK";"Örebro SK";"Örgryte IS";"Örgryte IS";1;1;1;1;0;1;1;0;1;0;2;4;-2;3;2;0;2;1;12;8
2001-04-29 15:00:00;2001-04-29;"15:00";"Örebro SK - Djurgården";"2 - 2";7466;"Felaktig arena";2001;"söndag";"AWAY";"Djurgården";"Örebro SK";"Djurgården";"Örebro SK";2;2;2;2;0;1;1;0;1;0;2;7;-5;3;1;0;1;2;13;2
2001-04-29 15:00:00;2001-04-29;"15:00";"AIK - Trelleborgs FF";"2 - 1";11075;"Råsunda";2001;"söndag";"AWAY";"Trelleborgs FF";"AIK";"Trelleborgs FF";"AIK";2;1;1;2;-1;1;0;0;0;1;2;7;-5;3;0;0;0;3;14;14
2001-05-01 19:00:00;2001-05-01;"19:00";"Malmö FF - IFK Norrköping";"0 - 0";17300;"Malmö Stadion";2001;"tisdag";"HOME";"Malmö FF";"Malmö FF";"IFK Norrköping";"IFK Norrköping";0;0;0;0;0;1;1;0;1;0;8;0;8;4;10;3;1;0;1;9
2001-04-30 15:00:00;2001-04-30;"15:00";"Örgryte IS - Helsingborgs IF";"1 - 0";4423;"Gamla Ullevi";2001;"måndag";"HOME";"Örgryte IS";"Örgryte IS";"Helsingborgs IF";"Helsingborgs IF";1;0;1;0;1;1;3;1;0;0;9;5;4;4;8;2;2;0;2;6
2001-05-01 17:00:00;2001-05-01;"17:00";"Hammarby - IFK Göteborg";"1 - 1";10667;"Söderstadion 1";2001;"tisdag";"AWAY";"IFK Göteborg";"Hammarby";"IFK Göteborg";"Hammarby";1;1;1;1;0;1;1;0;1;0;6;3;3;4;8;2;2;0;3;4
